"Virus","AlleleA","AlleleB","p(fold change < 1)","Estimated fold change","Lower 95% CrI","Upper 95% CrI"
"General","Human","Bonobo I83","0.00021","3.8","2.1","6.6"
"General","Human","Bonobo T83","0.0013","2.8","1.6","4.9"
"General","Bonobo T83","Bonobo I83","0.055","1.3","0.92","2.0"
"BF1167","Human","Bonobo I83","<0.00001","2.2","1.7","2.9"
"BF1167","Human","Bonobo T83","0.000032","1.7","1.3","2.3"
"BF1167","Bonobo T83","Bonobo I83","0.042","1.3","0.97","1.7"
"EK505","Human","Bonobo I83","0.00011","1.7","1.3","2.2"
"EK505","Human","Bonobo T83","0.051","1.2","0.96","1.6"
"EK505","Bonobo T83","Bonobo I83","0.014","1.4","1.0","1.8"
"GAB2","Human","Bonobo I83","<0.00001","2.1","1.6","2.8"
"GAB2","Human","Bonobo T83","0.00040","1.6","1.2","2.1"
"GAB2","Bonobo T83","Bonobo I83","0.029","1.3","0.99","1.7"
"LB715","Human","Bonobo I83","<0.00001","1.9","1.5","2.5"
"LB715","Human","Bonobo T83","0.0011","1.5","1.2","2.0"
"LB715","Bonobo T83","Bonobo I83","0.044","1.3","0.97","1.7"
"MB897","Human","Bonobo I83","<0.00001","1.9","1.4","2.4"
"MB897","Human","Bonobo T83","0.0019","1.5","1.1","2.0"
"MB897","Bonobo T83","Bonobo I83","0.058","1.2","0.95","1.6"
"MT145","Human","Bonobo I83","0.000016","1.8","1.4","2.4"
"MT145","Human","Bonobo T83","0.0073","1.4","1.1","1.8"
"MT145","Bonobo T83","Bonobo I83","0.029","1.3","0.99","1.7"
"SIVagmTAN1","Human","Bonobo I83","<0.00001","4.2","3.2","5.6"
"SIVagmTAN1","Human","Bonobo T83","<0.00001","3.0","2.3","4.0"
"SIVagmTAN1","Bonobo T83","Bonobo I83","0.0094","1.4","1.1","1.8"
"SIVasc","Human","Bonobo I83","<0.00001","2.8","2.1","3.7"
"SIVasc","Human","Bonobo T83","<0.00001","2.2","1.7","2.9"
"SIVasc","Bonobo T83","Bonobo I83","0.045","1.3","0.96","1.7"
"SIVgorBPID1","Human","Bonobo I83","<0.00001","4.3","3.3","5.7"
"SIVgorBPID1","Human","Bonobo T83","<0.00001","2.9","2.2","3.9"
"SIVgorBPID1","Bonobo T83","Bonobo I83","0.0035","1.5","1.1","2.0"
"SIVgorBQID2","Human","Bonobo I83","<0.00001","5.1","3.8","6.7"
"SIVgorBQID2","Human","Bonobo T83","<0.00001","3.0","2.3","4.0"
"SIVgorBQID2","Bonobo T83","Bonobo I83","0.00028","1.7","1.3","2.2"
"SIVgorCP2135","Human","Bonobo I83","<0.00001","4.7","3.6","6.2"
"SIVgorCP2135","Human","Bonobo T83","<0.00001","3.0","2.3","3.9"
"SIVgorCP2135","Bonobo T83","Bonobo I83","0.00094","1.6","1.2","2.1"
"SIVgorCP2139","Human","Bonobo I83","<0.00001","2.5","1.9","3.3"
"SIVgorCP2139","Human","Bonobo T83","0.000090","1.7","1.3","2.2"
"SIVgorCP2139","Bonobo T83","Bonobo I83","0.0026","1.5","1.1","1.9"
"SIVlst7","Human","Bonobo I83","<0.00001","2.2","1.6","2.8"
"SIVlst7","Human","Bonobo T83","0.00054","1.6","1.2","2.1"
"SIVlst7","Bonobo T83","Bonobo I83","0.013","1.4","1.0","1.8"
"SIVmus1-54","Human","Bonobo I83","<0.00001","37","23","73"
"SIVmus1-54","Human","Bonobo T83","<0.00001","34","22","64"
"SIVmus1-54","Bonobo T83","Bonobo I83","0.40","1.1","0.57","2.1"
"SIVmusGAB11","Human","Bonobo I83","<0.00001","4.2","3.1","5.6"
"SIVmusGAB11","Human","Bonobo T83","<0.00001","2.8","2.1","3.8"
"SIVmusGAB11","Bonobo T83","Bonobo I83","0.0040","1.5","1.1","1.9"
"SIVsmmFTq","Human","Bonobo I83","<0.00001","19","14","26"
"SIVsmmFTq","Human","Bonobo T83","<0.00001","14","10","18"
"SIVsmmFTq","Bonobo T83","Bonobo I83","0.019","1.4","1.0","1.9"
"SIVsmmSL92b","Human","Bonobo I83","<0.00001","5.9","4.5","7.8"
"SIVsmmSL92b","Human","Bonobo T83","<0.00001","4.5","3.4","5.9"
"SIVsmmSL92b","Bonobo T83","Bonobo I83","0.024","1.3","1.0","1.7"
"SIVwrcGM05","Human","Bonobo I83","0.013","1.4","1.0","1.8"
"SIVwrcGM05","Human","Bonobo T83","0.26","1.1","0.83","1.4"
"SIVwrcGM05","Bonobo T83","Bonobo I83","0.053","1.2","0.95","1.6"
"TAN2","Human","Bonobo I83","<0.00001","2.2","1.7","2.9"
"TAN2","Human","Bonobo T83","0.00012","1.7","1.3","2.2"
"TAN2","Bonobo T83","Bonobo I83","0.016","1.3","1.0","1.8"
