"Virus","AlleleA","AlleleB","p(fold change < 1)","Estimated fold change","Lower 95% CrI","Upper 95% CrI"
"General","Human","AHPM","0.000086","5.1","2.7","9.3"
"General","Human","AHSM","0.00066","3.6","1.9","6.6"
"General","Human","ANSR","0.000042","6.6","3.2","13"
"General","Human","ARSM","0.00023","4.4","2.3","8.1"
"General","Human","PRSM","0.0029","2.8","1.4","5.1"
"General","AHPM","ANSR","0.18","1.3","0.71","2.3"
"General","AHSM","AHPM","0.080","1.4","0.86","2.3"
"General","AHSM","ANSR","0.024","1.8","1.0","3.2"
"General","AHSM","ARSM","0.20","1.2","0.74","2.0"
"General","ARSM","AHPM","0.28","1.2","0.70","1.9"
"General","ARSM","ANSR","0.083","1.5","0.83","2.7"
"General","PRSM","AHPM","0.0095","1.8","1.1","3.0"
"General","PRSM","AHSM","0.15","1.3","0.79","2.1"
"General","PRSM","ANSR","0.0034","2.4","1.3","4.2"
"General","PRSM","ARSM","0.034","1.6","0.96","2.6"
"BF1167","Human","AHPM","<0.00001","16","10","26"
"BF1167","Human","AHSM","<0.00001","5.3","3.4","8.4"
"BF1167","Human","ANSR","<0.00001","24","15","40"
"BF1167","Human","ARSM","<0.00001","8.8","5.7","14"
"BF1167","Human","PRSM","<0.00001","4.1","2.7","6.3"
"BF1167","AHPM","ANSR","0.074","1.5","0.87","2.5"
"BF1167","AHSM","AHPM","<0.00001","3.1","1.9","5.1"
"BF1167","AHSM","ANSR","<0.00001","4.6","2.7","7.9"
"BF1167","AHSM","ARSM","0.019","1.7","1.0","2.7"
"BF1167","ARSM","AHPM","0.0054","1.9","1.2","3.0"
"BF1167","ARSM","ANSR","0.000074","2.8","1.7","4.6"
"BF1167","PRSM","AHPM","<0.00001","4.0","2.5","6.4"
"BF1167","PRSM","AHSM","0.15","1.3","0.80","2.0"
"BF1167","PRSM","ANSR","<0.00001","5.8","3.6","9.8"
"BF1167","PRSM","ARSM","0.00054","2.1","1.4","3.3"
"EK505","Human","AHPM","<0.00001","6.6","4.3","10"
"EK505","Human","AHSM","<0.00001","4.4","2.8","6.8"
"EK505","Human","ANSR","<0.00001","36","22","65"
"EK505","Human","ARSM","<0.00001","3.2","2.1","4.9"
"EK505","Human","PRSM","0.00025","2.1","1.4","3.2"
"EK505","AHPM","ANSR","<0.00001","5.5","3.2","10"
"EK505","AHSM","AHPM","0.039","1.5","0.96","2.4"
"EK505","AHSM","ANSR","<0.00001","8.4","4.8","15"
"EK505","ARSM","AHPM","0.00065","2.1","1.3","3.2"
"EK505","ARSM","AHSM","0.093","1.4","0.86","2.1"
"EK505","ARSM","ANSR","<0.00001","11","6.7","20"
"EK505","PRSM","AHPM","<0.00001","3.2","2.1","4.9"
"EK505","PRSM","AHSM","0.00068","2.1","1.3","3.3"
"EK505","PRSM","ANSR","<0.00001","17","10","31"
"EK505","PRSM","ARSM","0.022","1.5","1.0","2.4"
"GAB2","Human","AHPM","<0.00001","33","18","73"
"GAB2","Human","AHSM","<0.00001","9.3","5.7","16"
"GAB2","Human","ANSR","<0.00001","71","35","190"
"GAB2","Human","ARSM","<0.00001","23","13","47"
"GAB2","Human","PRSM","<0.00001","6.6","4.1","11"
"GAB2","AHPM","ANSR","0.055","2.1","0.83","5.9"
"GAB2","AHSM","AHPM","0.000090","3.6","1.8","8.0"
"GAB2","AHSM","ANSR","<0.00001","7.6","3.5","20"
"GAB2","AHSM","ARSM","0.0030","2.5","1.3","5.3"
"GAB2","ARSM","AHPM","0.18","1.4","0.64","3.4"
"GAB2","ARSM","ANSR","0.0074","3.1","1.3","8.5"
"GAB2","PRSM","AHPM","<0.00001","5.1","2.6","11"
"GAB2","PRSM","AHSM","0.11","1.4","0.81","2.5"
"GAB2","PRSM","ANSR","<0.00001","11","5.1","29"
"GAB2","PRSM","ARSM","0.000051","3.5","1.9","7.3"
"LB715","Human","AHPM","<0.00001","4.4","2.9","6.7"
"LB715","Human","AHSM","<0.00001","3.0","2.0","4.7"
"LB715","Human","ANSR","<0.00001","7.1","4.7","11"
"LB715","Human","ARSM","<0.00001","9.7","6.3","15"
"LB715","Human","PRSM","<0.00001","4.9","3.2","7.5"
