"Virus","AlleleA","AlleleB","p(fold change < 1)","Estimated fold change","Lower 95% CrI","Upper 95% CrI"
"General","Human","Allele 1","0.18","1.5","0.57","3.8"
"General","Human","Allele 3","0.0069","13","1.8","89"
"General","Human","Allele 4","0.40","1.1","0.43","2.7"
"General","Human","Allele 6","0.032","3.3","0.92","12"
"General","Human","Allele 7","0.0010",">26*","26",">26*"
"General","Allele 1","Allele 3","0.015","8.4","1.3","57"
"General","Allele 1","Allele 6","0.094","2.2","0.66","7.8"
"General","Allele 1","Allele 7","0.0015",">18*","18",">18*"
"General","Allele 2","Human","0.029","2.5","0.97","6.6"
"General","Allele 2","Allele 1","0.0027","3.8","1.6","9.0"
"General","Allele 2","Allele 3","0.00088","32","4.8","210"
"General","Allele 2","Allele 4","0.0097","2.8","1.2","6.4"
"General","Allele 2","Allele 5","0.073","1.9","0.77","4.4"
"General","Allele 2","Allele 6","0.0011","8.1","2.5","29"
"General","Allele 2","Allele 7","0.00036",">67*","67",">67*"
"General","Allele 3","Allele 7","0.017",">1.5*","1.5",">1.5*"
"General","Allele 4","Allele 1","0.22","1.4","0.59","3.1"
"General","Allele 4","Allele 3","0.0074","11","1.8","76"
"General","Allele 4","Allele 6","0.033","2.9","0.92","10"
"General","Allele 4","Allele 7","0.0011",">24*","24",">24*"
"General","Allele 5","Human","0.27","1.3","0.53","3.5"
"General","Allele 5","Allele 1","0.049","2.0","0.87","4.8"
"General","Allele 5","Allele 3","0.0033","17","2.6","110"
"General","Allele 5","Allele 4","0.16","1.5","0.67","3.4"
"General","Allele 5","Allele 6","0.0083","4.4","1.4","16"
"General","Allele 5","Allele 7","0.00071",">36*","36",">36*"
"General","Allele 6","Allele 3","0.093","3.9","0.47","31"
"General","Allele 6","Allele 7","0.0037",">7.4*","7.4",">7.4*"
"BF1167","Human","Allele 1","0.0024","3.1","1.4","7.1"
"BF1167","Human","Allele 3","<0.00001","20","6.8","80"
"BF1167","Human","Allele 4","0.18","1.4","0.67","3.1"
"BF1167","Human","Allele 5","0.15","1.5","0.69","3.2"
"BF1167","Human","Allele 6","0.011","2.5","1.1","5.6"
"BF1167","Human","Allele 7","<0.00001",">2400*","2400",">2400*"
"BF1167","Allele 1","Allele 3","0.00036","6.3","2.1","26"
"BF1167","Allele 1","Allele 7","<0.00001",">760*","760",">760*"
"BF1167","Allele 2","Human","0.26","1.3","0.60","2.7"
"BF1167","Allele 2","Allele 1","0.00034","4.0","1.8","8.9"
"BF1167","Allele 2","Allele 3","<0.00001","25","8.7","100"
"BF1167","Allele 2","Allele 4","0.057","1.8","0.86","3.9"
"BF1167","Allele 2","Allele 5","0.048","1.9","0.89","4.0"
"BF1167","Allele 2","Allele 6","0.0018","3.2","1.5","7.1"
"BF1167","Allele 2","Allele 7","<0.00001",">3000*","3000",">3000*"
"BF1167","Allele 3","Allele 7","<0.00001",">100*","100",">100*"
"BF1167","Allele 4","Allele 1","0.027","2.2","0.98","4.9"
"BF1167","Allele 4","Allele 3","<0.00001","14","4.7","55"
"BF1167","Allele 4","Allele 5","0.47","1.0","0.48","2.2"
"BF1167","Allele 4","Allele 6","0.080","1.8","0.80","3.9"
"BF1167","Allele 4","Allele 7","<0.00001",">1700*","1700",">1700*"
"BF1167","Allele 5","Allele 1","0.031","2.1","0.96","4.7"
"BF1167","Allele 5","Allele 3","<0.00001","13","4.6","53"
"BF1167","Allele 5","Allele 6","0.091","1.7","0.78","3.7"
"BF1167","Allele 5","Allele 7","<0.00001",">1600*","1600",">1600*"
"BF1167","Allele 6","Allele 1","0.30","1.2","0.55","2.8"
"BF1167","Allele 6","Allele 3","0.000051","7.9","2.6","32"
"BF1167","Allele 6","Allele 7","<0.00001",">940*","940",">940*"
"MB897","Human","Allele 1","0.077","1.7","0.82","3.4"
"MB897","Human","Allele 3","0.0040","2.7","1.3","5.9"
"MB897","Human","Allele 7","<0.00001",">1700*","1700",">1700*"
"MB897","Allele 1","Allele 3","0.078","1.6","0.83","3.3"
"MB897","Allele 1","Allele 7","<0.00001",">1000*","1000",">1000*"
"MB897","Allele 2","Human","0.12","1.5","0.76","3.0"
"MB897","Allele 2","Allele 1","0.0019","2.5","1.4","4.8"
"MB897","Allele 2","Allele 3","<0.00001","4.2","2.1","8.4"
"MB897","Allele 2","Allele 5","0.47","1.0","0.55","1.9"
"MB897","Allele 2","Allele 6","0.11","1.5","0.80","2.8"
"MB897","Allele 2","Allele 7","<0.00001",">2600*","2600",">2600*"
"MB897","Allele 3","Allele 7","<0.00001",">610*","610",">610*"
"MB897","Allele 4","Human","0.073","1.7","0.83","3.3"
"MB897","Allele 4","Allele 1","0.00076","2.8","1.5","5.3"
"MB897","Allele 4","Allele 2","0.38","1.1","0.59","2.0"
"MB897","Allele 4","Allele 3","<0.00001","4.6","2.4","9.1"
"MB897","Allele 4","Allele 5","0.36","1.1","0.61","2.1"
"MB897","Allele 4","Allele 6","0.061","1.6","0.88","3.0"
"MB897","Allele 4","Allele 7","<0.00001",">2800*","2800",">2800*"
"MB897","Allele 5","Human","0.13","1.5","0.74","3.0"
"MB897","Allele 5","Allele 1","0.0024","2.5","1.3","4.7"
"MB897","Allele 5","Allele 3","0.000013","4.1","2.1","8.1"
"MB897","Allele 5","Allele 6","0.12","1.5","0.78","2.7"
"MB897","Allele 5","Allele 7","<0.00001",">2500*","2500",">2500*"
"MB897","Allele 6","Human","0.47","1.0","0.51","2.1"
"MB897","Allele 6","Allele 1","0.049","1.7","0.90","3.2"
"MB897","Allele 6","Allele 3","0.0012","2.8","1.4","5.6"
"MB897","Allele 6","Allele 7","<0.00001",">1700*","1700",">1700*"
"MT145","Human","Allele 1","0.00017","3.8","1.9","8.0"
"MT145","Human","Allele 3","<0.00001","220","84","630"
"MT145","Human","Allele 4","0.032","2.0","0.96","4.0"
"MT145","Human","Allele 5","0.061","1.7","0.86","3.5"
"MT145","Human","Allele 6","0.0016","3.0","1.4","6.1"
"MT145","Human","Allele 7","<0.00001",">5600*","5600",">5600*"
"MT145","Allele 1","Allele 3","<0.00001","57","23","160"
"MT145","Allele 1","Allele 7","<0.00001",">1500*","1500",">1500*"
"MT145","Allele 2","Human","0.20","1.3","0.68","2.7"
"MT145","Allele 2","Allele 1","<0.00001","5.2","2.7","10"
"MT145","Allele 2","Allele 3","<0.00001","300","120","790"
"MT145","Allele 2","Allele 4","0.0015","2.6","1.4","5.0"
"MT145","Allele 2","Allele 5","0.0042","2.3","1.3","4.4"
"MT145","Allele 2","Allele 6","<0.00001","4.0","2.1","7.6"
"MT145","Allele 2","Allele 7","<0.00001",">7700*","7700",">7700*"
"MT145","Allele 3","Allele 7","<0.00001",">23*","23",">23*"
"MT145","Allele 4","Allele 1","0.025","2.0","1.0","3.9"
"MT145","Allele 4","Allele 3","<0.00001","110","47","300"
"MT145","Allele 4","Allele 6","0.11","1.5","0.78","2.9"
"MT145","Allele 4","Allele 7","<0.00001",">2900*","2900",">2900*"
"MT145","Allele 5","Allele 1","0.010","2.2","1.1","4.4"
"MT145","Allele 5","Allele 3","<0.00001","130","52","340"
"MT145","Allele 5","Allele 4","0.36","1.1","0.59","2.1"
"MT145","Allele 5","Allele 6","0.056","1.7","0.88","3.3"
"MT145","Allele 5","Allele 7","<0.00001",">3300*","3300",">3300*"
"MT145","Allele 6","Allele 1","0.23","1.3","0.65","2.6"
"MT145","Allele 6","Allele 3","<0.00001","75","30","200"
"MT145","Allele 6","Allele 7","<0.00001",">1900*","1900",">1900*"
"SIVagmTAN1","Human","Allele 1","0.035","2.0","0.94","4.1"
"SIVagmTAN1","Human","Allele 3","<0.00001",">1100*","1100",">1100*"
"SIVagmTAN1","Human","Allele 4","<0.00001","8.4","3.8","19"
"SIVagmTAN1","Human","Allele 5","0.19","1.4","0.66","2.8"
"SIVagmTAN1","Human","Allele 6","0.057","1.8","0.86","3.7"
"SIVagmTAN1","Human","Allele 7","<0.00001",">2400*","2400",">2400*"
"SIVagmTAN1","Allele 1","Allele 3","<0.00001",">550*","550",">550*"
"SIVagmTAN1","Allele 1","Allele 4","0.000058","4.3","2.1","9.3"
"SIVagmTAN1","Allele 1","Allele 7","<0.00001",">1200*","1200",">1200*"
"SIVagmTAN1","Allele 2","Human","0.10","1.6","0.78","3.2"
"SIVagmTAN1","Allele 2","Allele 1","0.00039","3.1","1.6","6.0"
"SIVagmTAN1","Allele 2","Allele 3","<0.00001",">1700*","1700",">1700*"
"SIVagmTAN1","Allele 2","Allele 4","<0.00001","13","6.6","28"
"SIVagmTAN1","Allele 2","Allele 5","0.0090","2.2","1.1","4.1"
"SIVagmTAN1","Allele 2","Allele 6","0.00094","2.8","1.5","5.5"
"SIVagmTAN1","Allele 2","Allele 7","<0.00001",">3900*","3900",">3900*"
"SIVagmTAN1","Allele 3","Allele 7","0.20","12","0.050",">1000*"
"SIVagmTAN1","Allele 4","Allele 3","<0.00001",">120*","120",">120*"
"SIVagmTAN1","Allele 4","Allele 7","<0.00001",">280*","280",">280*"
"SIVagmTAN1","Allele 5","Allele 1","0.14","1.4","0.74","2.8"
"SIVagmTAN1","Allele 5","Allele 3","<0.00001",">790*","790",">790*"
"SIVagmTAN1","Allele 5","Allele 4","<0.00001","6.2","3.0","13"
